Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,458479635,5882.061210583309,11771828,151.02658345219317,1413309,6047653,77.58832107421256,41635,0.5341559358522795,3805,
United States of America,Americas,78793916,23804.618,248897,75.195,0,960703,290.24,9355,2.826,0
India,South-East Asia,42996062,3115.647,24754,1.794,2568,515974,37.389,764,0.055,97
Brazil,Americas,29368776,13816.737,319763,150.435,18642,655078,308.186,2935,1.381,133
France,Europe,22824960,35094.073,441577,678.938,10266,137147,210.868,824,1.267,176
The United Kingdom,Europe,19700956,29020.645,416521,613.559,59590,162873,239.921,366,0.539,35
Germany,Europe,17432617,20961.051,1406401,1691.062,198888,125873,151.35,1423,1.711,283
Russian Federation,Europe,17412919,11932.013,331525,227.174,36678,361902,247.989,4301,2.947,558
Turkey,Europe,14575178,17281.645,187838,222.718,24404,96620,114.561,939,1.113,133
Italy,Europe,13402905,22472.452,354131,593.766,29698,156997,263.235,980,1.643,129
Spain,Europe,11260125,23789.358,116923,247.024,16411,101416,214.262,602,1.272,95
Argentina,Americas,8976079,19860.439,33191,73.438,4647,127257,281.568,415,0.918,70
Republic of Korea,Western Pacific,7228550,14099.21,2358878,4600.966,362338,10888,21.237,1606,3.132,293
Netherlands,Europe,7214075,41442.136,442546,2542.26,45908,21713,124.733,104,0.597,6
Iran (Islamic Republic of),Eastern Mediterranean,7126906,8485.124,30588,36.417,3813,139063,165.565,947,1.127,114
Viet Nam,Western Pacific,6377438,6551.809,1795380,1844.469,264790,41477,42.611,586,0.602,92
Colombia,Americas,6076819,11942.755,5115,10.052,486,139297,273.76,206,0.405,14
Indonesia,South-East Asia,5900124,2157.08,99871,36.513,0,152437,55.731,1606,0.587,0
Poland,Europe,5836672,15376.603,76174,200.679,12690,113622,299.335,855,2.252,178
Japan,Western Pacific,5808242,4592.35,374134,295.813,35846,26262,20.764,1213,0.959,108
Mexico,Americas,5606827,4348.644,40158,31.146,1191,321103,249.047,1202,0.932,49
Ukraine,Europe,4912528,11232.805,33189,75.889,6120,107269,245.277,530,1.212,85
Malaysia,Western Pacific,3845601,11881.608,196138,606,22030,33899,104.736,594,1.835,92
Israel,Europe,3726913,43058.117,40875,472.241,6521,10392,120.062,45,0.52,3
Czechia,Europe,3696837,34569.46,54105,505.941,10829,39216,366.712,181,1.693,20
South Africa,Africa,3695175,6230.411,10055,16.954,671,99725,168.146,116,0.196,0
Philippines,Western Pacific,3671293,3350.298,3025,2.761,554,57625,52.587,559,0.51,15
Belgium,Europe,3658084,31747.477,42546,369.245,11,30445,264.224,115,0.998,2
Peru,Americas,3536496,10725.803,8947,27.135,770,211546,641.596,438,1.328,64
Portugal,Europe,3413013,33149.215,75207,730.455,0,21342,207.286,126,1.224,0
Canada,Americas,3360142,8902.889,36804,97.514,1631,36881,97.718,-105,-0.278,9
Chile,Americas,3313242,17332.115,110680,578.985,11495,44005,230.197,779,4.075,126
