"Year","Top_1_Percent","X90_To_99_Percentile","X50_To_90_Percentile","Bottom_50_Percent"
1990,23.5,37.1,35.8,3.7
1990,23.7,37,35.8,3.5
1990,23.2,37,36.1,3.7
1990,23.5,36.8,36,3.6
1991,23.8,36.6,35.9,3.7
1991,23.8,36.5,36,3.8
1991,23.9,36,36.1,4
1991,24.4,35.8,35.8,4
1992,24.2,35.7,36,4
1992,24.2,35.5,36.3,4
1992,24.1,35.4,36.2,4.3
1992,24.6,35.2,36.1,4.1
1993,25.2,34.9,36,3.8
1993,25.4,34.7,36,3.9
1993,25.7,34.5,35.9,3.9
1993,26.1,34.4,35.8,3.8
1994,26.4,34.3,35.7,3.6
1994,26.7,34.1,35.7,3.6
1994,26.9,33.9,35.5,3.6
1994,27.4,33.7,35.4,3.4
1995,27.9,33.5,35.2,3.5
1995,28,33.4,34.9,3.7
1995,28.3,33.3,34.6,3.8
1995,28.5,33.3,34.5,3.7
1996,28.4,33.4,34.5,3.7
1996,28.3,33.4,34.7,3.6
1996,28.2,33.3,34.9,3.6
1996,28.4,33.3,34.8,3.4
1997,28,33.8,34.7,3.5
1997,28.3,33.8,34.4,3.5
1997,28.4,33.9,34.2,3.5
1997,28.3,34.1,34.1,3.4
1998,28.6,34.3,33.6,3.5
1998,28.6,34.3,33.8,3.4
1998,27.9,34.3,34.2,3.6
1998,28.1,34.6,33.9,3.4
1999,27.9,34.7,34,3.5
1999,28.1,34.7,33.8,3.3
1999,27.8,34.7,34.1,3.4
1999,28.3,34.7,33.6,3.3
2000,28.6,34.8,33.3,3.3
2000,28.1,34.8,33.7,3.3
2000,27.8,35.1,33.8,3.4
2000,27.2,35.1,34.4,3.3
2001,26.6,35,35.2,3.2
2001,26.6,35.3,35,3.1
2001,25.9,35.3,35.7,3.1
2001,26,35.3,35.7,2.9
2002,26.1,35.3,35.7,2.9
2002,26.1,35.5,35.7,2.8
2002,25.4,35.4,36.3,2.8
2002,25.1,35.5,36.6,2.9
2003,25,35.7,36.6,2.7
2003,25.8,35.7,36.1,2.5
2003,26.1,35.6,35.9,2.5
2003,26.5,35.5,35.4,2.6
2004,27.2,35.5,34.8,2.4
2004,27.1,35.7,34.7,2.5
2004,27.4,35.9,34.3,2.5
2004,27.6,35.7,34.3,2.4
2005,27.7,35.9,34.1,2.3
2005,28,35.9,33.9,2.3
2005,28.1,35.9,33.7,2.3
2005,28.1,35.8,33.7,2.3
2006,28.8,36.2,32.7,2.3
2006,28.7,36.5,32.6,2.2
2006,28.8,36.5,32.5,2.2
2006,29,36.5,32.4,2.2
2007,29.3,37,31.5,2.2
2007,29.4,37.4,31.2,2.1
2007,29.5,37.7,31,1.9
2007,29.2,37.9,31.2,1.7
2008,29.1,38.3,31,1.6
2008,28.9,38.5,31,1.5
2008,28.6,39.1,31.3,1.1
2008,27.2,39.3,32.4,1.1
2009,26.9,40.2,31.8,1.2
2009,27.2,39.7,32,1
2009,28.1,39.7,31.4,0.7
2009,27.5,39.2,32.6,0.7
2010,28.2,39.6,31.7,0.6
2010,28.1,39.8,31.7,0.4
2010,28.4,39.8,31.2,0.5
2010,28.4,39.4,31.7,0.5
2011,29.1,39.5,31,0.4
2011,29.3,39.3,31.1,0.3
2011,29,39.3,31.2,0.4
2011,28.8,39,31.6,0.6
2012,29.4,39.2,30.9,0.6
2012,29.5,39.1,30.8,0.6
2012,29.6,38.8,30.9,0.7
2012,29.7,38.6,30.9,0.8
2013,30,38.6,30.7,0.7
2013,30,38.8,30.5,0.8
2013,29.9,38.6,30.7,0.9
2013,29.9,38.4,30.8,0.8
2014,30.4,38.4,30.3,0.8
2014,30.6,38.4,30.1,0.9
2014,30.6,38.6,29.8,1
2014,30.7,38.4,29.9,1
2015,31,38.5,29.5,1
2015,31.1,38.6,29.3,1
2015,30.9,38.7,29.4,1
2015,30.8,38.3,29.8,1.1
2016,31,38.3,29.5,1.2
2016,31.2,38.4,29.3,1.1
2016,31.1,38.4,29.2,1.2
2016,30.8,38.2,29.7,1.3
2017,31,38.3,29.5,1.3
2017,31,38.4,29.3,1.4
2017,30.9,38.4,29.3,1.4
2017,31,38.3,29.3,1.4
2018,31,38.4,29.2,1.5
2018,30.9,38.5,29,1.6
2018,31,38.5,29,1.6
2018,30.3,38.6,29.6,1.6
2019,30.7,38.5,29.2,1.6
2019,30.7,38.7,29,1.6
2019,30.5,38.8,29,1.7
2019,30.8,38.7,28.8,1.8
2020,29.7,38.6,29.9,1.8
2020,30.4,38.4,29.4,1.8
2020,30.8,38.2,29.2,1.8
2020,31.5,38,28.6,1.8
2021,31.9,37.7,28.5,1.9
2021,32.2,37.6,28,2.2
2021,32.1,37.5,27.9,2.5
